CR,SOC_deg,RPM,Max_KI,Knock,KnockTheta,SeverityIndex
11.5,-8,2000,1.7220299869731255e-10,False,,9.71759309715295e-12
11.5,-8,3000,1.138518928055059e-10,False,,6.460780359817363e-12
11.5,-8,4000,8.524614800695341e-11,False,,4.842887940119109e-12
11.5,-8,5000,6.816817704223346e-11,False,,3.8737652069432515e-12
11.5,-10,2000,1.737230982068573e-10,False,,9.764644492807247e-12
11.5,-10,3000,1.1407384839904835e-10,False,,6.4678885096932035e-12
11.5,-10,4000,8.529451394357304e-11,False,,4.844473815042125e-12
11.5,-10,5000,6.818209826037809e-11,False,,3.874250033637564e-12
11.5,-12,2000,1.761503714870763e-10,False,,9.850443066567348e-12
11.5,-12,3000,1.1442118529863338e-10,False,,6.480732623251552e-12
11.5,-12,4000,8.537192136448268e-11,False,,4.847369945838532e-12
11.5,-12,5000,6.820196136993201e-11,False,,3.875036914278312e-12
11.5,-14,2000,1.7988416168101006e-10,False,,9.993721434775434e-12
11.5,-14,3000,1.1494224779268782e-10,False,,6.50194297276757e-12
11.5,-14,4000,8.548702243089642e-11,False,,4.85211974778416e-12
11.5,-14,5000,6.823007004421036e-11,False,,3.876245685524518e-12
12.0,-8,2000,2.6323983922935586e-10,False,,1.5106641352378223e-11
12.0,-8,3000,1.7409470508029596e-10,False,,1.0044057982990066e-11
12.0,-8,4000,1.303606533284864e-10,False,,7.528903431275039e-12
12.0,-8,5000,1.0424616277951621e-10,False,,6.022286013175763e-12
12.0,-10,2000,2.654947467047895e-10,False,,1.517885493487073e-11
12.0,-10,3000,1.7442455893454957e-10,False,,1.0054968079987492e-11
12.0,-10,4000,1.3043258271575288e-10,False,,7.531337575704764e-12
12.0,-10,5000,1.042668949039676e-10,False,,6.0230301720116914e-12
12.0,-12,2000,2.6910285644429145e-10,False,,1.5310526034093338e-11
12.0,-12,3000,1.749421799125734e-10,False,,1.0074681828053338e-11
12.0,-12,4000,1.3054800343613643e-10,False,,7.535782808304547e-12
12.0,-12,5000,1.0429655509325267e-10,False,,6.0242379539899326e-12
12.0,-14,2000,2.7465971188653703e-10,False,,1.55303768811179e-11
12.0,-14,3000,1.757203159676329e-10,False,,1.0107235465038127e-11
12.0,-14,4000,1.3072001192647522e-10,False,,7.543073161568527e-12
12.0,-14,5000,1.0433860960427811e-10,False,,6.026093293523674e-12
12.5,-8,2000,3.934572735493187e-10,False,,2.294403257092877e-11
12.5,-8,3000,2.6028797763973487e-10,False,,1.5255457855940573e-11
12.5,-8,4000,1.9491230325148616e-10,False,,1.1435381730898758e-11
12.5,-8,5000,1.5586868353676233e-10,False,,9.147049962819762e-12
12.5,-10,2000,3.9673334804366084e-10,False,,2.3052374418292312e-11
12.5,-10,3000,2.607680071867891e-10,False,,1.527182715963675e-11
12.5,-10,4000,1.9501704996894162e-10,False,,1.1439033918046777e-11
12.5,-10,5000,1.558989137429867e-10,False,,9.148166501959378e-12
12.5,-12,2000,4.0198601492088323e-10,False,,2.3249904779304607e-11
12.5,-12,3000,2.615232828177866e-10,False,,1.530140485101737e-11
12.5,-12,4000,1.9518554850084663e-10,False,,1.1445703524346893e-11
12.5,-12,5000,1.559422720370207e-10,False,,9.14997866575299e-12
12.5,-14,2000,4.1008514185619907e-10,False,,2.3579675549507607e-11
12.5,-14,3000,2.6266093057061086e-10,False,,1.5350245563648685e-11
12.5,-14,4000,1.954371884341257e-10,False,,1.1456641860304942e-11
12.5,-14,5000,1.5600386208359035e-10,False,,9.152762426845404e-12
13.0,-8,2000,5.761806691021548e-10,False,,3.4117323306242755e-11
13.0,-8,3000,3.8126550260674837e-10,False,,2.2685267456079656e-11
13.0,-8,4000,2.8551888889322746e-10,False,,1.7004821438425012e-11
13.0,-8,5000,2.2832844871130865e-10,False,,1.3602012074857689e-11
13.0,-10,2000,5.808510829005174e-10,False,,3.427654280775693e-11
13.0,-10,3000,3.819508712976054e-10,False,,2.2709325105986597e-11
13.0,-10,4000,2.856685343632762e-10,False,,1.7010189047031616e-11
13.0,-10,5000,2.2837168960331258e-10,False,,1.36036530549973e-11
13.0,-12,2000,5.883539626914563e-10,False,,3.456681255998495e-11
13.0,-12,3000,3.830319454201105e-10,False,,2.275279425608909e-11
13.0,-12,4000,2.859098281715412e-10,False,,1.7019991328116336e-11
13.0,-12,5000,2.2843385843355733e-10,False,,1.360631640010264e-11
13.0,-14,2000,5.999359965773906e-10,False,,3.505134613578303e-11
13.0,-14,3000,3.8466339712403636e-10,False,,2.2824571533373608e-11
13.0,-14,4000,2.862709049516363e-10,False,,1.703606723162595e-11
13.0,-14,5000,2.2852232291963357e-10,False,,1.3610407703357143e-11
